date,water_area_uncorrected,non_water_area,cloud_area,unfiltered_area,cloud_percent,QUALITY_DESCRIPTION,sat,filtered_area,corrected_areas_1,corrected_trend_1,sar_trend,days_passed,area
2019-01-12,2.884557726652257,9.67499429027387,3.182825810959749,4.422004897818532,20.218202394569172,0.0,s2,4.422004897818532,4.398839861591892,0.17502058988296815,-0.011702222222222235,5.0,4.398839861591892
2019-01-17,2.173717204549153,13.210447861064594,0.3582127622721288,,2.275467951465341,0.0,s2,,,,-0.011702222222222326,5.0,4.34032875048078
2019-01-22,2.906705554381725,12.452955599904376,0.3827166735997758,,2.431123670033098,0.0,s2,,,,-0.007454790849673198,5.0,4.303054796232415
2019-01-24,4.397981336811618,11.285083951273617,0.0593125398006383,4.398839861591892,0.3767698911124641,0.0,l8,4.398839861591892,4.398839861591892,-0.0019304196855533344,-0.004623169934640625,2.0,4.398839861591892
2019-01-27,2.1305036021523867,13.36406171096622,0.2478125147672705,,1.574174609939155,0.0,s2,,,,-0.004623169934640477,3.0,4.38497035178797
2019-02-01,2.3656713881979545,13.158611016430063,0.2180954232578594,,1.3854033084603492,0.0,s2,,,,-0.004962895424836589,5.0,4.360155874663787
2019-02-06,1.909686273317704,13.709840682081866,0.1228508724863026,,0.7803832040461253,0.0,s2,,,,-0.006321797385620975,5.0,4.3285468877356825
2019-02-09,3.9732178475363336,11.70986032090563,0.0592996594439055,3.978369468996296,0.37668807147331174,0.0,l8,3.978369468996296,3.978369468996296,-0.026279399537224746,-0.0063217973856208864,3.0,3.978369468996296
2019-02-11,3.4997133243620024,12.11462707672598,0.1280374267978984,,0.8133296519608001,0.0,s2,,,,-0.0063217973856211085,2.0,3.9657258742250536
2019-02-16,3.669877585692641,12.007428789394364,0.065071452798875,3.680562075072524,0.41335212196221155,0.0,s2,3.680562075072524,3.680562075072524,-0.04254391341768171,-0.012586790849673157,5.0,3.680562075072524
2019-02-21,3.5655409697149536,12.034626027662451,0.1422108305084761,3.6537463909426218,0.9033630882404903,0.0,s2,3.6537463909426218,3.6537463909426218,-0.005363136825980419,-0.014153039215686291,5.0,3.6537463909426218
2019-02-25,3.655423019583189,10.377498577624282,1.7085976989401168,,10.854083819966862,0.0,l8,,,,-0.016841119281045702,4.0,3.586381913818439
2019-02-26,3.2706640997960705,12.414274024314372,0.0574397037754375,,0.36487311131415884,0.0,s2,,,,-0.024905359477124467,1.0,3.5614765543413145
2019-03-03,3.392441947408639,12.294022569371482,0.0559133111057598,3.3943498492335897,0.355177036894106,0.0,s2,3.3943498492335897,3.3943498492335897,-0.025939654170903204,-0.02490535947712429,5.0,3.3943498492335897
2019-03-08,2.38192220267334,13.146790495761763,0.2136651294507738,,1.3572608394158199,0.0,s2,,,,-0.0249053594771242,5.0,3.2698230518479687
2019-03-13,3.502846902426447,12.165301591801184,0.07422933365825,3.521544583517755,0.4715255501412306,0.0,s2,3.521544583517755,3.521544583517755,0.012719473428416528,-0.010926078431372499,5.0,3.521544583517755
2019-03-18,3.6795373223793177,11.95961035922624,0.1032301462803203,3.727998920218673,0.6557468471977564,0.0,s2,3.727998920218673,3.727998920218673,0.04129086734018363,-0.010926078431372499,5.0,3.727998920218673
2019-03-23,2.191922610029991,13.49339714652674,0.0570580713291484,,0.36244887496014955,0.0,s2,,,,0.0007353137254902719,5.0,3.7316754888461245
2019-03-28,1.3501505437498802,12.210484361013854,2.181742923122141,3.447742899143952,13.859043068178845,0.0,s2,3.447742899143952,3.447742899143952,-0.028025602107472115,0.008509575163398697,5.0,3.447742899143952
2019-03-29,0.0,0.0,15.718339313786752,,114.57902413880393,1.0,l8,,,,0.008509575163398342,1.0,3.4562524743073504
2019-04-02,3.100253102401913,12.537507491413548,0.1046172340704165,3.1497202373416675,0.6645580179450316,0.0,s2,3.1497202373416675,3.1497202373416675,-0.05960453236045691,0.010631029411764858,4.0,3.1497202373416675
2019-04-07,2.5384110320111444,13.061431175747977,0.1425356201267559,,0.9054262430054871,0.0,s2,,,,0.01699539215686281,5.0,3.2346971981259816
2019-04-12,3.719224610275927,11.960752890238323,0.0624003273716289,3.727237978714648,0.39638438394670994,0.0,s2,3.727237978714648,3.727237978714648,0.05775177413729806,0.01699539215686281,5.0,3.727237978714648
2019-04-14,3.928991804538143,11.751510418896494,0.0618756044512297,3.936719371005428,0.3930511967615462,0.0,l8,3.936719371005428,3.936719371005428,0.10474069614538983,-0.0073778921568625755,2.0,3.936719371005428
